State,5-11,12-17,18-64,65+,Axis,Abbrev
Alabama,3.6,30.3,51.4,84.1,73,Ala
Alaska,13.3,49.5,63.0,93.4,1,Alaska
Arizona,10.4,50.4,64.3,90.6,57,Ariz
Arkansas,8.5,42.4,56.3,82.2,60,Ark
California,17.2,64.1,74.6,92.3,45,Calif
Colorado,22.0,61.2,75.2,97.1,47,Colo
Connecticut,21.5,70.0,81.2,99.2,43,Conn
Delaware,14.1,53.8,69.1,99.9,54,Del
Florida,9.7,51.0,69.6,95.1,86,Fla
Georgia,7.0,37.9,58.5,87.0,74,Ga
Hawaii,14.0,54.3,68.2,95.4,78,Hawaii
Idaho,,,57.1,93.0,24,Idaho
Illinois,20.1,57.2,69.9,91.1,28,Ill
Indiana,8.0,37.4,57.0,90.8,39,Ind
Iowa,14.6,45.8,63.7,96.2,38,Iowa
Kansas,12.3,46.9,62.6,93.3,59,Kan
Kentucky,10.7,40.1,58.9,89.2,50,Ky
Louisiana,3.6,34.1,54.7,90.1,71,La
Maine,29.6,64.5,80.2,99.9,11,Maine
Maryland,22.0,69.5,77.8,98.3,53,Md
Massachusetts,31.6,71.4,81.0,98.0,32,Mass
Michigan,14.6,42.4,60.5,91.5,29,Mich
Minnesota,24.0,59.0,71.5,99.9,27,Minn
Mississippi,3.0,33.6,52.0,86.3,72,Miss
Missouri,11.1,40.2,57.3,86.9,49,Mo
Montana,12.6,40.4,57.1,91.2,25,Mont
Nebraska,15.5,50.6,66.9,96.0,48,Neb
Nevada,7.8,45.5,66.0,88.2,35,Nev
New Hampshire,16.3,55.3,71.5,99.5,22,N.H.
New Jersey,17.5,64.6,79.2,94.1,42,N.J.
New Mexico,16.2,61.1,72.8,97.4,58,N.M.
New York,18.1,64.1,80.1,93.0,31,N.Y.
North Carolina,13.2,45.6,62.9,91.2,63,N.C.
North Dakota,11.6,40.7,57.6,89.7,26,N.D.
Ohio,13.4,40.1,59.0,90.7,40,Ohio
Oklahoma,8.0,41.0,59.8,88.9,70,Okla
Oregon,20.0,59.6,73.4,96.3,34,Ore
Pennsylvania,17.0,50.1,68.3,95.4,41,Pa
Rhode Island,28.9,72.5,82.0,99.9,44,R.I.
South Carolina,8.0,39.8,57.4,92.4,62,S.C.
South Dakota,13.3,44.0,63.0,98.3,37,S.D.
Tennessee,8.2,34.7,56.5,88.0,61,Tenn
Texas,10.6,52.5,67.4,90.9,81,Texas
Utah,14.4,55.7,72.4,98.9,46,Utah
Vermont,41.3,74.6,79.0,99.9,21,Vt
Virginia,23.9,66.2,75.0,96.0,52,Va
Washington,20.3,63.6,77.3,99.2,23,Wash
West Virginia,8.5,39.3,56.6,86.3,51,W.Va
Wisconsin,17.4,49.1,66.1,99.7,17,Wis
Wyoming,6.7,31.8,49.7,89.1,36,Wyo
District of Columbia,3.6,30.3,51.4,84.1,64,D.C.
