longitude,latitude,country
69.17,34.53,AFG
45.34,2.04,SOM
44.4,33.34,IRQ
69.17,34.53,AFG
73.04,33.72,PAK
11.52,3.87,CMR
69.17,34.53,AFG
44.21,15.35,YEM
11.52,3.87,CMR
73.04,33.72,PAK
69.17,34.53,AFG
11.52,3.87,CMR
36.29,33.51,SYR
36.29,33.51,SYR
44.21,15.35,YEM
73.04,33.72,PAK
11.52,3.87,CMR
7.48,9.07,NGA
44.21,15.35,YEM
15.04,12.11,TCD
15.04,12.11,TCD
69.17,34.53,AFG
73.04,33.72,PAK
69.17,34.53,AFG
69.17,34.53,AFG
36.29,33.51,SYR
11.52,3.87,CMR
7.48,9.07,NGA
69.17,34.53,AFG
44.21,15.35,YEM
11.52,3.87,CMR
69.17,34.53,AFG
44.4,33.34,IRQ
13.19,32.88,LBY
69.17,34.53,AFG
36.29,33.51,SYR
69.17,34.53,AFG
45.34,2.04,SOM
44.4,33.34,IRQ
44.4,33.34,IRQ
32.85,39.92,TUR
44.4,33.34,IRQ
44.4,33.34,IRQ
73.04,33.72,PAK
36.29,33.51,SYR
44.4,33.34,IRQ
45.34,2.04,SOM
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
45.34,2.04,SOM
44.4,33.34,IRQ
69.17,34.53,AFG
37.62,55.75,RUS
44.21,15.35,YEM
73.04,33.72,PAK
7.48,9.07,NGA
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
32.85,39.92,TUR
44.21,15.35,YEM
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
37.62,55.75,RUS
45.34,2.04,SOM
44.4,33.34,IRQ
7.48,9.07,NGA
7.48,9.07,NGA
44.21,15.35,YEM
69.17,34.53,AFG
44.4,33.34,IRQ
44.21,15.35,YEM
69.17,34.53,AFG
44.4,33.34,IRQ
44.4,33.34,IRQ
36.29,33.51,SYR
36.29,33.51,SYR
44.21,15.35,YEM
36.29,33.51,SYR
44.4,33.34,IRQ
69.17,34.53,AFG
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
13.19,32.88,LBY
29.36,-3.38,BDI
44.4,33.34,IRQ
13.19,32.88,LBY
44.4,33.34,IRQ
44.4,33.34,IRQ
44.4,33.34,IRQ
